"LOCATION","Country","TL","Territory level","GEO","Geography","VAR","Variable","TIME","Time","Value","Flag Codes","Flags"
"TUR","Türkiye","FUA","Functional Urban Area","TR008F","Edirne","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",18.2,,
"ESP","Spain","FUA","Functional Urban Area","ES015F","Santander","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",138,,
"COL","Colombia","FUA","Functional Urban Area","COL33F","Sogamoso","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",33,,
"USA","United States","FUA","Functional Urban Area","USA39F","Oklahoma","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",337,,
"FRA","France","FUA","Functional Urban Area","FR005F","Bordeaux","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",35.7,,
"USA","United States","FUA","Functional Urban Area","USA161F","Brazos","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",300,,
"ITA","Italy","FUA","Functional Urban Area","IT034F","Udine","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",135,,
"ESP","Spain","FUA","Functional Urban Area","ES042F","Manresa","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",31,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK573F","Bracknell Forest","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",64.3,,
"ITA","Italy","FUA","Functional Urban Area","IT053F","Altamura","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",27.2,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK027F","Stoke-on-Trent","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",51.5,,
"ITA","Italy","FUA","Functional Urban Area","IT005F","Palermo","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",55.2,,
"FRA","France","FUA","Functional Urban Area","FR017F","Reims","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",93,,
"USA","United States","FUA","Functional Urban Area","USA65F","Sarasota","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",49.1,,
"USA","United States","FUA","Functional Urban Area","USA199F","Midland","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",120,,
"USA","United States","FUA","Functional Urban Area","USA145F","Nashville","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",62.4,,
"JPN","Japan","FUA","Functional Urban Area","JPN44F","Asahikawa","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",17.9,,
"GRC","Greece","FUA","Functional Urban Area","EL002F","Thessaloniki","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",25.6,,
"ROU","Romania","FUA","Functional Urban Area","RO028F","Piteşti","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",94,,
"LVA","Latvia","FUA","Functional Urban Area","LV002F","Liepaja","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",178,,
"ITA","Italy","FUA","Functional Urban Area","IT070F","Ferrara","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",107,,
"DEU","Germany","FUA","Functional Urban Area","DE039F","Koblenz","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",231,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK055F","Eastbourne","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",120,,
"POL","Poland","FUA","Functional Urban Area","PL010F","Katowice","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",58.4,,
"ITA","Italy","FUA","Functional Urban Area","IT037F","Barletta","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",18.7,,
"AUT","Austria","FUA","Functional Urban Area","AT001F","Wien","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",83,,
"USA","United States","FUA","Functional Urban Area","USA113F","Bell","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",341,,
"CHL","Chile","FUA","Functional Urban Area","CL014F","Rancagua","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",25,,
"AUS","Australia","FUA","Functional Urban Area","AUS17F","Toowoomba","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",31,,
"CZE","Czech Republic","FUA","Functional Urban Area","CZ009F","Hradec Králové","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",41.2,,
"USA","United States","FUA","Functional Urban Area","USA156F","Weld","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",38.8,,
"MEX","Mexico","FUA","Functional Urban Area","MEX02F","Guadalajara","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",27,,
"FRA","France","FUA","Functional Urban Area","FR009F","Strasbourg","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",112,,
"DEU","Germany","FUA","Functional Urban Area","DE049F","Flensburg","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",272,,
"DEU","Germany","FUA","Functional Urban Area","DE120F","Hildesheim","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",48.6,,
"USA","United States","FUA","Functional Urban Area","USA24F","Jackson (MO)","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",566,,
"FRA","France","FUA","Functional Urban Area","FR020F","Dijon","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",29.7,,
"FRA","France","FUA","Functional Urban Area","FR003F","Lille","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",99,,
"FRA","France","FUA","Functional Urban Area","FR035F","Amiens","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",141,,
"USA","United States","FUA","Functional Urban Area","USA99F","Mahoning","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",71,,
"ROU","Romania","FUA","Functional Urban Area","RO015F","Focşani","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",34,,
"ESP","Spain","FUA","Functional Urban Area","ES041F","Guadalajara","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",71,,
"ITA","Italy","FUA","Functional Urban Area","IT041F","Treviso","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",157,,
"NLD","Netherlands","FUA","Functional Urban Area","NL002F","Alkmaar","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",156,,
"CZE","Czech Republic","FUA","Functional Urban Area","CZ001F","Praha","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",49.3,,
"FRA","France","FUA","Functional Urban Area","FR043F","Avignon","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",170,,
"MEX","Mexico","FUA","Functional Urban Area","MEX35F","Matamoros","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",53,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK549F","Bedford","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",133,,
"TUR","Türkiye","FUA","Functional Urban Area","TR026F","Zonguldak","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",70.3,,
"JPN","Japan","FUA","Functional Urban Area","JPN37F","Morioka","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",20.9,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK045F","Worthing","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",37,,
"MEX","Mexico","FUA","Functional Urban Area","MEX81F","Piedras Negras","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",25.1,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK518F","Derby","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",49,,
"JPN","Japan","FUA","Functional Urban Area","JPN30F","Tokushima","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",162,,
"USA","United States","FUA","Functional Urban Area","USA192F","Rock","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",514,,
"USA","United States","FUA","Functional Urban Area","USA27F","New Haven","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",59.2,,
"JPN","Japan","FUA","Functional Urban Area","JPN24F","Nagasaki","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",43.5,,
"HUN","Hungary","FUA","Functional Urban Area","HU007F","Győr","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",41.7,,
"ITA","Italy","FUA","Functional Urban Area","IT030F","Foggia","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",16.1,,
"JPN","Japan","FUA","Functional Urban Area","JPN59F","Marugame","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",89,,
"ROU","Romania","FUA","Functional Urban Area","RO030F","Buzău","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",70,,
"DEU","Germany","FUA","Functional Urban Area","DE107F","Heilbronn","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",161,,
